threshold,precision,recall,f1,tp,tn,fp,fn
0.3,0.429,0.9118,0.5835,1354,2329,1802,131
0.35,0.4509,0.8929,0.5992,1326,2516,1615,159
0.4,0.4705,0.8606,0.6084,1278,2693,1438,207
0.45,0.4976,0.835,0.6236,1240,2879,1252,245
0.5,0.5211,0.798,0.6305,1185,3042,1089,300
0.55,0.546,0.7556,0.6339,1122,3198,933,363
0.6,0.5671,0.7057,0.6289,1048,3331,800,437
