model,smote,feature_count,cv_f1_mean,cv_f1_std,accuracy,precision,recall,f1,roc_auc,tp,tn,fp,fn
logreg,True,23,0.6304,0.0195,0.7438,0.5108,0.7634,0.6121,0.8397,284,761,272,88
rf,True,23,0.5813,0.0278,0.773,0.5768,0.5349,0.5551,0.8169,199,887,146,173
